"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","shrunk_log2FoldChange"
"Solyc12g006570.2",9.95588163372792,-1.96245955835759,1.11890927107968,-1.75390410025287,0.0794469409115549,0.648226912443511,-0.108118237148982
"Solyc12g006575.1",24.7298052446371,0.0826799636200369,0.498186984056321,0.165961709691496,0.868187083465455,0.999960910744343,0.00174031934650097
"Solyc12g006620.2",11.0980528730671,-0.876227938631057,0.769791691453042,-1.13826629770076,0.255009302394653,0.959239062251373,-0.0338122020934756
"Solyc12g006630.2",3.65039003546588,0.254418120793184,1.00045692701687,0.254301923373952,0.799262313999479,NA,0.00637721609167516
"Solyc12g006650.2",319.674266537539,0.0783067823113181,0.254615954921259,0.307548607217229,0.75842583127135,0.999960910744343,0.0010931683597096
"Solyc12g006670.2",247.129780289528,-0.0665613296539053,0.174365428454357,-0.381734672084546,0.702658179553782,0.999960910744343,-0.000762253142034327
"Solyc12g006680.2",286.717213139718,-0.851225153018137,1.04670087723511,-0.813245858039852,0.416077111932993,0.999960910744343,-0.0251386178020478
"Solyc12g006690.2",42.4194004201017,-0.234243156093821,0.58508448980147,-0.400357828957838,0.688892980204614,0.999960910744343,-0.00561960076830618
"Solyc12g006700.2",2165.04043632538,-0.00262615812131588,0.185319367603226,-0.0141709857705675,0.988693567663905,0.999960910744343,-2.9146528054239e-05
"Solyc12g006710.2",52.7655992883431,0.0854470240299767,0.452592776217237,0.188794493681807,0.850253887641509,0.999960910744343,0.0017090476206907
"Solyc12g006790.2",274.902788668145,0.547449505488241,0.513256783255608,1.06661913363472,0.286143856825339,0.980944893447695,0.0184930996860938
"Solyc12g006800.2",98.7877607159177,0.180211322252736,0.638455552357421,0.282261343937455,0.777743123982944,0.999960910744343,0.00432921768728281
"Solyc12g006820.2",5.89076107775496,0.736829286150417,1.12289646566089,0.656186308073155,0.511704257417534,0.999960910744343,0.0198566785078077
"Solyc12g006830.2",908.817196115482,0.012143665563356,0.548628746211992,0.0221345776122779,0.982340604281039,0.999960910744343,0.00026553073065435
"Solyc12g006840.2",803.415978380347,0.433596871251499,0.672381216132766,0.644867615049322,0.519012980030119,0.999960910744343,0.0120173577091109
