cell_type,gene_id
Epidermis,Solyc03g122300
Epidermis,Solyc03g122330
Epidermis,Solyc03g123600
Epidermis,Solyc03g124030
Epidermis,Solyc03g124020
Epidermis,Solyc04g005200
Epidermis,Solyc04g005210
Epidermis,Solyc04g005290
Epidermis,Solyc04g005830
Epidermis,Solyc04g007090
Epidermis,Solyc04g007420
Epidermis,Solyc04g007700
Epidermis,Solyc04g007705
Epidermis,Solyc04g008390
Epidermis,Solyc04g009010
Epidermis,Solyc04g009220
Epidermis,Solyc04g009470
Epidermis,Solyc04g009473
Epidermis,Solyc04g011480
Epidermis,Solyc04g011490
Epidermis,Solyc04g011960
Epidermis,Solyc04g011980
Epidermis,Solyc04g012080
Epidermis,Solyc04g014910
Epidermis,Solyc04g014970
Epidermis,Solyc04g016080
Epidermis,Solyc04g016270
Epidermis,Solyc04g016540
Epidermis,Solyc04g017620
Epidermis,Solyc04g016590
Epidermis,Solyc04g018100
Epidermis,Solyc04g039990
Epidermis,Solyc04g039960
Epidermis,Solyc04g045600
Epidermis,Solyc04g049660
Epidermis,Solyc04g050417
Epidermis,Solyc04g050470
Epidermis,Solyc04g050760
Epidermis,Solyc04g050820
Epidermis,Solyc04g051270
Epidermis,Solyc04g051680
Epidermis,Solyc04g051870
Epidermis,Solyc04g054290
Epidermis,Solyc04g054780
Epidermis,Solyc04g055000
Epidermis,Solyc04g055060
Epidermis,Solyc04g055090
Epidermis,Solyc04g056330
Epidermis,Solyc04g056650
Epidermis,Solyc04g057990
Epidermis,Solyc04g057993
Epidermis,Solyc04g058160
Epidermis,Solyc04g058200
Epidermis,Solyc04g071330
Epidermis,Solyc04g072510
Epidermis,Solyc04g072860
Epidermis,Solyc04g074160
Epidermis,Solyc04g074470
Epidermis,Solyc04g074690
Epidermis,Solyc04g074710
Epidermis,Solyc04g074780
Epidermis,Solyc04g074820
Epidermis,Solyc04g074880
Epidermis,Solyc04g074920
Epidermis,Solyc04g076010
Epidermis,Solyc04g076070
Epidermis,Solyc04g076350
Epidermis,Solyc04g076460
Epidermis,Solyc04g076710
Epidermis,Solyc04g077030
Epidermis,Solyc04g078120
Epidermis,Solyc04g078470
Epidermis,Solyc04g078860
Epidermis,Solyc04g079700
Epidermis,Solyc04g080060
Epidermis,Solyc04g080270
Epidermis,Solyc04g080280
Epidermis,Solyc04g080285
Epidermis,Solyc04g080390
Epidermis,Solyc04g080820
Epidermis,Solyc04g080950
Epidermis,Solyc04g081110
Epidermis,Solyc04g081130
Epidermis,Solyc04g081220
Epidermis,Solyc04g081730
Epidermis,Solyc04g082170
Epidermis,Solyc04g082380
Epidermis,Solyc04g082610
Epidermis,Solyc04g082680
Epidermis,Solyc04g082870
Epidermis,Solyc04g082940
Epidermis,Solyc05g005130
Epidermis,Solyc05g005520
Epidermis,Solyc05g005620
Epidermis,Solyc05g005870
Epidermis,Solyc05g005980
Epidermis,Solyc05g005990
Epidermis,Solyc05g006410
Epidermis,Solyc05g006630
Epidermis,Solyc05g006810
Epidermis,Solyc05g007180
Epidermis,Solyc05g007290
Epidermis,Solyc05g007760
Epidermis,Solyc05g007810
Epidermis,Solyc05g007850
Epidermis,Solyc05g008010
Epidermis,Solyc05g009460
Epidermis,Solyc05g009710
Epidermis,Solyc05g010080
Epidermis,Solyc05g011960
Epidermis,Solyc05g012200
Epidermis,Solyc05g012230
Epidermis,Solyc05g012690
Epidermis,Solyc05g013020
Epidermis,Solyc05g013115
Epidermis,Solyc05g013160
Epidermis,Solyc05g013250
Epidermis,Solyc05g013300
Epidermis,Solyc05g013400
Epidermis,Solyc05g014085
Epidermis,Solyc05g014100
Epidermis,Solyc05g014110
Epidermis,Solyc05g014210
Epidermis,Solyc05g014275
Epidermis,Solyc05g014630
Epidermis,Solyc05g014765
Epidermis,Solyc05g015530
Epidermis,Solyc05g015650
Epidermis,Solyc05g017990
Epidermis,Solyc05g021163
Epidermis,Solyc05g021180
Epidermis,Solyc05g021410
Epidermis,Solyc05g021550
Epidermis,Solyc05g025905
Epidermis,Solyc05g026045
Epidermis,Solyc05g026140
Epidermis,Solyc05g032670
Epidermis,Solyc05g041530
Epidermis,Solyc05g041860
Epidermis,Solyc05g041870
Epidermis,Solyc05g043360
Epidermis,Solyc05g046000
Epidermis,Solyc05g047540
Epidermis,Solyc05g048810
Epidermis,Solyc05g050130
Epidermis,Solyc05g051220
Epidermis,Solyc05g051230
Epidermis,Solyc05g051650
Epidermis,Solyc05g051710
Epidermis,Solyc05g052170
Epidermis,Solyc05g052490
Epidermis,Solyc05g052950
Epidermis,Solyc05g053170
Epidermis,Solyc05g053570
Epidermis,Solyc05g053965
Epidermis,Solyc05g054050
Epidermis,Solyc05g055320
Epidermis,Solyc05g055500
Epidermis,Solyc05g055650
Epidermis,Solyc05g055680
Epidermis,Solyc05g055810
Epidermis,Solyc05g055860
Epidermis,Solyc05g055880
Epidermis,Solyc06g005110
Epidermis,Solyc06g005840
Epidermis,Solyc06g005980
Epidermis,Solyc06g007210
Epidermis,Solyc06g007220
Epidermis,Solyc06g007710
Epidermis,Solyc06g007850
Epidermis,Solyc06g008240
Epidermis,Solyc06g008450
Epidermis,Solyc06g008530
Epidermis,Solyc06g008560
Epidermis,Solyc06g008810
Epidermis,Solyc06g008990
Epidermis,Solyc06g009280
Epidermis,Solyc06g009390
